Imagen,Valor,Clase
Imagen_1,"(np.int64(120), np.int64(21), np.int64(189))",0
Imagen_2,"(np.int64(96), np.int64(0), np.int64(106))",0
Imagen_3,"(np.int64(103), np.int64(255), np.int64(0))",0
Imagen_4,"(np.int64(35), np.int64(255), np.int64(7))",0
Imagen_5,"(np.int64(70), np.int64(18), np.int64(75))",0
Imagen_6,"(np.int64(35), np.int64(255), np.int64(252))",0
Imagen_7,"(np.int64(105), np.int64(83), np.int64(141))",0
Imagen_8,"(np.int64(105), np.int64(36), np.int64(174))",0
Imagen_9,"(np.int64(105), np.int64(255), np.int64(255))",1
Imagen_10,"(np.int64(30), np.int64(2), np.int64(243))",1
Imagen_11,"(np.int64(106), np.int64(8), np.int64(255))",1
Imagen_12,"(np.int64(120), np.int64(7), np.int64(222))",1
Imagen_13,"(np.int64(107), np.int64(129), np.int64(236))",1
Imagen_14,"(np.int64(105), np.int64(255), np.int64(204))",1
Imagen_15,"(np.int64(111), np.int64(0), np.int64(255))",1
Imagen_16,"(np.int64(15), np.int64(21), np.int64(81))",1
