Imagen,Valor_0,Valor_1,Valor_2,Valor_3,Valor_4,Valor_5,Valor_6,Clase
Imagen_1,0.0016527679108757176,4.1299177487808493e-07,1.6468582607782775e-10,1.6164632188539337e-10,2.6194393224945694e-20,1.03569548917611e-13,-3.0731681746887787e-21,0
Imagen_2,0.001565129899330582,8.858734133740766e-07,1.2972646531321517e-10,1.8018093097912573e-10,2.74737443974972e-20,1.6903703971580902e-13,2.010433243372658e-21,0
Imagen_3,0.001989774773002043,4.885611248250474e-07,2.5332165926787293e-09,1.6527202514655814e-09,3.3164646801971493e-18,1.1125529762014342e-12,-6.610314520273918e-19,0
Imagen_4,0.0019822496521711363,8.155035581836871e-07,2.4751422499116154e-09,1.2215828963314744e-09,2.123984936223583e-18,1.102007505255048e-12,2.6210324342293074e-20,0
Imagen_5,0.0024363591061499898,9.0907551732133e-07,1.6517269323765576e-11,7.848158385642265e-11,2.682588777303995e-21,6.897520018362327e-14,-8.877519399602302e-22,0
Imagen_6,0.0018305069667149507,6.514818167031094e-07,5.046833594925639e-12,1.2571875913587863e-10,1.253569914630137e-22,1.0098917760917624e-13,3.1642375340086565e-21,0
Imagen_7,0.0016833373822062849,5.903570430934739e-07,3.663004236950883e-12,1.9008326339423495e-12,-4.886161177965228e-24,-1.2840732620752542e-15,1.1327048819235549e-24,0
Imagen_8,0.001469559181088125,5.748845281611601e-07,6.191894750624395e-12,2.5173504268363543e-11,-3.0401483681899074e-23,1.8440439299502473e-14,-3.128137910331376e-22,0
Imagen_9,0.0013957180742850703,1.1853187837979803e-07,1.1097700142272628e-10,1.0705412235433641e-10,1.091958864332472e-20,3.651663148978286e-14,-4.113464066308491e-21,1
Imagen_10,0.0014281381515419645,8.084214379281867e-07,3.219500231020397e-11,6.740391851029168e-11,3.1322216375498242e-21,5.792806710605673e-14,-2.2008629816934445e-22,1
Imagen_11,0.0010285069580095725,6.252131634182777e-08,4.3892602149506804e-12,3.3068947736507454e-12,-1.0459466838439122e-23,-3.2501082735471093e-16,7.02332938836905e-24,1
Imagen_12,0.0013286611712724295,4.496152005077614e-07,6.737149695787402e-11,6.059969933657864e-11,3.872068339009626e-21,4.003795858549618e-14,-7.381328672724823e-24,1
Imagen_13,0.002001745044289253,1.1889149947004966e-06,4.103960730516953e-10,4.5126463563473934e-10,1.852388961042276e-19,4.55912178714998e-13,-5.8310152089664e-20,1
Imagen_14,0.001568999870051171,3.5011499765621535e-07,4.133195606159024e-11,9.441585135976596e-12,1.1357036729271372e-22,4.0237168502423984e-15,1.4794955171680241e-22,1
Imagen_15,0.0018998975568049713,5.625410006886136e-07,1.4221382722368622e-10,4.150480858384805e-10,1.0066904323170072e-19,3.0733399874537684e-13,5.812023282831877e-21,1
Imagen_16,0.001872123973042114,6.465807186997863e-07,9.624682751627029e-12,3.3544265987288194e-11,-5.020009349959623e-22,2.6520036531594595e-14,3.3357893431784273e-22,1
